en,ru,pos,description
account,"учётная запись",noun,
aside,заметка,noun,"в случае, если это формат записи"
attachment,вложение,noun,
"Block editor","редактор блоков",noun,"редактор, ранее называвшийся Gutenberg"
"Block Patterns","Паттерны блоков",noun,"В значении ""Узоры блоков""
Block Pattern (ед.ч.) - Паттерн блоков (в значении ""Узор блоков"", узор - один, блоков в нем - много)"
breadcrumbs,"хлебные крошки",noun,
breadcrumbs,"навигационные цепочки",noun,
category,рубрика,noun,"в применении к записям WordPress, для категорий товаров (например) WooCommerce используется «категория»"
"classic editor","классический редактор",noun,"редактор из плагина classic editor (название плагина не переводим!)"
click,щёлкнуть,verb,
column,столбец,noun,
configure,настроить,verb,
content,содержимое,noun,
cron,cron,noun,"непереводимый термин"
CTA,"Призыв к действию",noun,
custom,произвольный,adjective,
custom,пользовательский,adjective,
dashboard,консоль,noun,
dashboard,"панель управления",noun,
directory,"директория, каталог",noun,
discussion,обсуждение,noun,
"domain mapping","привязка домена",expression,
download,скачать,verb,"""download"" - скачать, ""upload"" - загрузить !"
"Drop caps",буквица,noun,"типографический термин (выделение первой буквы главы текста)"
engagement,взаимодействие,noun,bbPress
entry,запись,noun,
excerpt,отрывок,noun,
"featured image","изображение записи",expression,
features,функции,noun,
features,возможности,noun,
Gutenberg,Gutenberg,noun,"Название проекта, не переводится, также - ""редактор блоков"""
honeypot,"ловушка для ботоа",noun,
id,id,noun,"непереводимый термин"
layout,"разметка, макет",noun,
log,журнал,noun,
odd-even,чередующийся,adjective,
options,настройки,noun,
pattern,паттерн,noun,"В применении к применении к библиотеке блоков Gutenberg"
permalink,"постоянная ссылка",noun,
"personal data","персональные данные",noun,"в применении к GDPR (Общий регламент по защите данных) ЕС"
ping,отклик,noun,
pingback,уведомление,noun,
post,запись,noun,
product,товар,noun,"в применении к WooCommerce"
"read more","читать далее",expression,
revision,редакция,noun,
"RSS feed",RSS-лента,noun,
settings,настройки,noun,
shortcode,шорткод,noun,
sidebar,"боковая панель",noun,"по возможности лучше пользоваться вариантом ""область виджетов"""
sidebar,"область виджетов",noun,
SKU,артикул,noun,"применительно к товарам"
slug,ярлык,noun,
tag,метка,noun,"но в то же время: теги шаблонов, теги кода HTML"
taxonomy,таксономия,noun,
template,шаблон,noun,
theme,тема,noun,
thumbnail,миниатюра,noun,
trackback,"обратная ссылка",noun,
transient,транзиент,noun,"временные данные объектного кеша"
transients,транзиенты,noun,"временные данные объектного кеша"
upload,загрузить,verb,"""download"" - скачать, ""upload"" - загрузить !"
uploads,загрузки,noun,
URI,URI,noun,"непереводимый термин"
URL,URL,noun,"непереводимый термин"
"widget area","область виджетов",noun,
